	treatment	time
r0t1drk1_08	drk	t1
r0t1drk2_09	drk	t1
r0t1drk3_10	drk	t1
r0t1drk4_11	drk	t1
r0t1drk5_12	drk	t1
r0t1drk6_13	drk	t1
r0t1drk7_14	drk	t1
r0t1lgt1_15	lgt	t1
r0t1lgt2_16	lgt	t1
r0t1lgt3_17	lgt	t1
r0t1lgt4_18	lgt	t1
r0t1lgt5_19	lgt	t1
r0t1lgt6_20	lgt	t1
r0t1lgt7_21	lgt	t1
r0t1nat1_01	nat	t1
r0t1nat2_02	nat	t1
r0t1nat3_03	nat	t1
r0t1nat4_04	nat	t1
r0t1nat5_05	nat	t1
r0t1nat6_06	nat	t1
r0t1nat7_07	nat	t1
r0t9drk1_29	drk	t9
r0t9drk2_30	drk	t9
r0t9drk3_31	drk	t9
r0t9drk4_32	drk	t9
r0t9drk5_33	drk	t9
r0t9drk6_34	drk	t9
r0t9drk7_35	drk	t9
r0t9lgt1_36	lgt	t9
r0t9lgt2_37	lgt	t9
r0t9lgt3_38	lgt	t9
r0t9lgt4_39	lgt	t9
r0t9lgt5_40	lgt	t9
r0t9lgt6_41	lgt	t9
r0t9lgt7_42	lgt	t9
r0t9nat1_22	nat	t9
r0t9nat2_23	nat	t9
r0t9nat3_24	nat	t9
r0t9nat4_25	nat	t9
r0t9nat5_43	nat	t9
r0t9nat6_26	nat	t9
r0t9nat7_27	nat	t9
r0t9nat8_28	nat	t9
