	overall.max.dist	overall.centroids.dist	overall.mahalanobis.dist	BER.max.dist	BER.centroids.dist	BER.mahalanobis.dist
comp 1	0.683255813953488	0.447441860465116	0.447441860465116	0.696071428571429	0.438571428571429	0.438571428571429
comp 2	0.393488372093023	0.449767441860465	0.467906976744186	0.402678571428571	0.440595238095238	0.458511904761905
comp 3	0.342325581395349	0.391162790697674	0.593953488372093	0.349583333333333	0.387440476190476	0.5875
comp 4	0.246046511627907	0.267906976744186	0.657674418604651	0.251845238095238	0.27077380952381	0.651785714285714
comp 5	0.210697674418605	0.194883720930233	0.613023255813953	0.215654761904762	0.199107142857143	0.609821428571429
comp 6	0.184651162790698	0.188837209302326	0.730697674418605	0.188988095238095	0.1925	0.73077380952381
comp 7	0.172093023255814	0.181395348837209	0.613023255813953	0.176071428571429	0.185238095238095	0.617619047619048
comp 8	0.173488372093023	0.182790697674419	0.57953488372093	0.177559523809524	0.186607142857143	0.588154761904762
comp 9	0.175813953488372	0.185116279069767	0.624651162790698	0.18	0.188988095238095	0.630059523809524
comp 10	0.173023255813954	0.18046511627907	0.628837209302326	0.177142857142857	0.184404761904762	0.627380952380952
